age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y 
40,technician,single,tertiary,no,445,yes,no,cellular,24,7,631,1,-1,0,unknown,no
32,management,divorced,tertiary,no,874,no,no,cellular,12,8,1282,6,-1,0,unknown,yes
48,blue-collar,married,secondary,no,705,no,no,unknown,13,5,108,2,-1,0,unknown,no
59,retired,married,unknown,no,1033,no,no,unknown,11,6,1199,1,-1,0,unknown,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,5,736,2,-1,0,unknown,yes
33,technician,single,tertiary,no,123,no,no,cellular,19,8,264,1,-1,0,unknown,no
55,retired,married,primary,no,8894,no,no,unknown,11,6,262,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,429,yes,no,unknown,13,5,244,1,-1,0,unknown,no
42,housemaid,married,primary,no,14752,no,no,unknown,19,5,107,2,-1,0,unknown,no
46,blue-collar,married,primary,no,67,no,no,unknown,24,6,9,1,-1,0,unknown,no
35,housemaid,divorced,secondary,no,39,no,no,cellular,31,7,149,2,-1,0,unknown,no
28,technician,single,tertiary,no,102,no,no,cellular,28,1,321,2,-1,0,unknown,no
25,student,single,secondary,no,1790,no,no,cellular,17,4,224,1,322,3,failure,no
56,management,single,tertiary,no,15311,no,no,cellular,29,4,157,6,-1,0,unknown,no
30,admin.,single,secondary,no,-635,no,no,cellular,25,7,250,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,115,no,no,cellular,11,8,209,4,-1,0,unknown,no
40,management,married,tertiary,no,10786,no,no,unknown,20,6,111,3,-1,0,unknown,no
40,blue-collar,married,secondary,no,498,yes,no,cellular,8,5,55,2,298,4,failure,no
39,blue-collar,married,secondary,no,1045,yes,yes,cellular,9,7,290,13,-1,0,unknown,no
48,entrepreneur,married,tertiary,no,810,no,no,unknown,6,6,383,1,-1,0,unknown,no
31,technician,single,tertiary,no,-162,yes,no,cellular,18,5,380,1,-1,0,unknown,no
32,management,married,tertiary,no,55,no,no,cellular,2,2,124,3,-1,0,unknown,no
34,services,married,secondary,no,586,yes,yes,unknown,8,5,224,2,-1,0,unknown,no
26,technician,single,secondary,no,455,no,no,cellular,29,1,240,1,182,8,other,no
31,management,married,tertiary,no,1010,yes,no,cellular,15,5,385,3,364,9,other,no
37,management,single,tertiary,no,509,yes,no,cellular,6,5,133,1,-1,0,unknown,no
29,student,single,unknown,no,2929,no,no,cellular,11,8,91,1,-1,0,unknown,no
57,technician,married,secondary,no,3071,yes,yes,cellular,7,5,63,3,-1,0,unknown,no
47,management,single,tertiary,no,153,yes,no,cellular,18,11,192,2,-1,0,unknown,no
38,self-employed,single,secondary,no,1146,yes,no,unknown,21,5,91,2,-1,0,unknown,no
48,blue-collar,married,primary,no,1092,no,yes,cellular,18,11,79,1,172,8,failure,no
50,management,married,tertiary,no,3463,no,yes,cellular,28,10,96,1,-1,0,unknown,yes
33,admin.,married,secondary,no,1158,yes,no,cellular,20,4,25,2,-1,0,unknown,no
28,admin.,single,secondary,no,26,yes,no,cellular,7,5,227,2,-1,0,unknown,no
30,services,single,secondary,no,566,no,no,cellular,5,2,110,1,-1,0,unknown,no
52,technician,divorced,secondary,no,204,no,no,cellular,7,8,134,2,-1,0,unknown,no
36,technician,married,secondary,no,480,no,no,cellular,20,10,213,1,-1,0,unknown,yes
36,technician,single,secondary,no,1855,yes,no,cellular,4,2,75,1,273,1,failure,no
46,services,married,secondary,no,1034,no,no,cellular,8,8,109,2,-1,0,unknown,no
57,management,married,tertiary,no,3250,no,no,cellular,20,8,162,3,-1,0,unknown,no
28,management,single,secondary,no,1633,no,no,cellular,5,6,275,1,-1,0,unknown,yes
46,services,married,secondary,no,0,yes,no,cellular,22,6,154,1,124,1,other,no
55,retired,married,primary,no,3334,no,no,cellular,14,8,632,4,-1,0,unknown,yes
33,management,married,tertiary,no,4020,yes,yes,cellular,15,4,251,1,-1,0,unknown,no
53,management,married,secondary,no,66,no,yes,telephone,8,7,141,1,-1,0,unknown,no
41,technician,single,secondary,no,-41,yes,yes,cellular,3,4,154,1,-1,0,unknown,no
60,blue-collar,married,secondary,no,322,yes,no,cellular,7,5,63,1,-1,0,unknown,no
35,entrepreneur,married,primary,no,2643,no,yes,cellular,8,7,259,1,-1,0,unknown,no
43,blue-collar,divorced,primary,no,49,yes,no,unknown,9,5,100,1,-1,0,unknown,no
57,admin.,divorced,primary,no,1,no,no,unknown,15,5,17,10,-1,0,unknown,no
46,admin.,married,secondary,no,3098,yes,no,telephone,21,11,192,9,-1,0,unknown,no
31,blue-collar,married,primary,no,352,yes,no,unknown,19,5,97,9,-1,0,unknown,no
53,technician,married,secondary,no,65,no,no,cellular,25,8,41,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,1949,yes,no,unknown,2,6,200,3,-1,0,unknown,no
32,admin.,single,secondary,no,739,yes,no,cellular,20,11,91,3,-1,0,unknown,no
48,management,married,tertiary,no,1167,yes,yes,cellular,1,6,264,1,-1,0,unknown,yes
50,admin.,married,secondary,no,231,yes,no,cellular,21,11,397,2,-1,0,unknown,no
40,blue-collar,married,primary,no,1136,yes,no,unknown,21,5,86,1,-1,0,unknown,no
42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,2,446,1,-1,0,unknown,no
59,admin.,married,secondary,no,817,no,no,cellular,9,4,304,1,-1,0,unknown,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,6,88,4,-1,0,unknown,no
32,management,single,tertiary,no,1831,yes,no,cellular,20,4,86,2,-1,0,unknown,no
35,technician,single,secondary,no,450,yes,no,cellular,13,5,63,1,-1,0,unknown,no
28,services,married,secondary,no,0,yes,no,cellular,5,5,335,2,281,8,failure,no
37,management,divorced,secondary,no,414,no,no,cellular,29,1,293,2,162,4,failure,no
57,management,married,primary,no,1052,yes,no,unknown,13,5,227,4,-1,0,unknown,no
42,admin.,single,secondary,no,1022,yes,no,unknown,5,5,146,2,-1,0,unknown,no
55,admin.,married,primary,no,343,yes,no,cellular,14,7,276,3,-1,0,unknown,no
52,management,married,tertiary,no,1944,yes,no,cellular,15,4,238,3,323,2,failure,no
26,blue-collar,single,secondary,no,-32,yes,yes,cellular,31,7,14,6,-1,0,unknown,no
52,technician,married,secondary,no,1781,yes,no,unknown,19,5,144,2,-1,0,unknown,no
26,management,single,tertiary,no,350,no,no,cellular,8,7,367,1,-1,0,unknown,no
33,unemployed,married,secondary,no,2,yes,no,cellular,16,7,132,1,-1,0,unknown,no
24,blue-collar,single,primary,no,111,yes,yes,unknown,27,5,42,4,-1,0,unknown,no
37,management,divorced,tertiary,no,168,yes,no,unknown,5,6,227,1,-1,0,unknown,no
28,technician,single,secondary,no,3,no,no,telephone,18,5,40,8,349,6,failure,no
30,technician,single,secondary,no,102,yes,no,unknown,7,5,614,2,-1,0,unknown,no
33,blue-collar,married,primary,no,0,yes,no,unknown,15,5,270,1,-1,0,unknown,no
55,unknown,married,primary,no,159,no,no,unknown,4,9,15,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,1134,yes,no,unknown,23,5,304,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,352,yes,no,cellular,11,5,79,3,-1,0,unknown,no
37,management,married,tertiary,no,865,yes,no,cellular,3,6,101,1,-1,0,unknown,no
59,blue-collar,married,primary,no,179,yes,no,unknown,5,5,55,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,5,yes,no,unknown,19,5,205,3,-1,0,unknown,no
23,student,married,tertiary,yes,-230,yes,no,cellular,18,5,259,2,-1,0,unknown,no
51,management,divorced,tertiary,no,0,no,no,cellular,13,8,60,2,-1,0,unknown,no
50,blue-collar,married,primary,no,3924,yes,no,cellular,20,4,122,2,-1,0,unknown,no
43,technician,married,secondary,no,764,yes,no,cellular,14,7,557,5,-1,0,unknown,no
37,blue-collar,divorced,primary,no,511,yes,no,telephone,11,5,42,1,-1,0,unknown,no
34,management,single,tertiary,no,4348,yes,no,cellular,28,8,373,8,-1,0,unknown,no
41,management,married,tertiary,no,3016,yes,no,cellular,14,7,80,3,-1,0,unknown,no
26,student,single,secondary,no,279,no,no,cellular,7,5,239,3,-1,0,unknown,no
49,management,divorced,tertiary,no,1405,no,no,unknown,8,6,29,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,908,yes,no,unknown,20,6,1663,1,-1,0,unknown,yes
30,management,single,tertiary,no,162,yes,no,unknown,20,5,186,4,-1,0,unknown,no
38,services,divorced,secondary,no,792,no,no,unknown,6,6,430,1,-1,0,unknown,no
58,management,married,secondary,no,111,no,no,telephone,24,3,58,2,-1,0,unknown,no
34,student,single,unknown,no,1281,no,no,cellular,25,8,279,1,117,1,failure,no
53,services,divorced,unknown,no,1012,yes,no,cellular,28,7,332,2,-1,0,unknown,no
50,management,married,tertiary,no,2881,no,no,cellular,5,8,510,2,2,5,other,no
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,4,218,1,330,2,failure,no
40,management,married,secondary,no,643,yes,no,cellular,17,4,74,2,256,1,failure,no
57,housemaid,single,secondary,no,254,no,no,cellular,8,10,676,1,-1,0,unknown,no
40,management,married,tertiary,no,-1212,yes,no,cellular,15,5,1259,2,333,18,failure,no
41,technician,married,secondary,no,2125,yes,yes,cellular,21,11,285,3,116,4,failure,no
53,technician,divorced,unknown,no,629,yes,no,cellular,8,5,298,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,-202,yes,yes,cellular,30,7,225,4,-1,0,unknown,no
32,technician,single,secondary,no,271,yes,no,cellular,13,5,80,2,268,2,other,no
34,management,married,tertiary,no,703,yes,no,cellular,14,4,342,1,-1,0,unknown,yes
46,blue-collar,married,secondary,no,-216,yes,no,cellular,28,7,404,3,-1,0,unknown,no
45,services,divorced,secondary,no,88,no,yes,cellular,7,7,332,1,-1,0,unknown,no
51,admin.,single,tertiary,no,16,yes,no,cellular,30,1,158,1,-1,0,unknown,no
31,management,married,secondary,no,466,yes,no,cellular,14,5,164,1,-1,0,unknown,no
47,technician,married,secondary,no,-75,yes,no,cellular,4,2,57,1,247,1,other,no
32,blue-collar,married,secondary,no,456,no,no,cellular,12,5,121,1,-1,0,unknown,no
41,technician,married,secondary,no,77,yes,no,cellular,7,5,56,1,-1,0,unknown,no
37,services,single,secondary,no,-244,no,no,unknown,3,7,178,1,-1,0,unknown,no
27,blue-collar,single,primary,no,1209,no,no,cellular,29,1,283,1,-1,0,unknown,no
27,services,married,secondary,no,58,yes,no,cellular,7,5,113,1,337,2,other,no
50,management,married,secondary,yes,421,no,no,cellular,20,11,22,5,-1,0,unknown,no
31,management,single,tertiary,no,112,yes,no,cellular,2,2,159,2,271,1,failure,no
40,self-employed,married,tertiary,no,13669,no,no,cellular,15,10,138,1,136,8,other,no
43,management,married,tertiary,no,1429,yes,no,cellular,19,11,1015,1,198,2,other,yes
39,technician,married,tertiary,no,794,no,no,telephone,2,2,182,1,-1,0,unknown,no
31,entrepreneur,single,tertiary,no,1957,no,no,cellular,4,2,112,3,-1,0,unknown,no
48,technician,married,secondary,no,454,yes,no,cellular,10,7,114,1,-1,0,unknown,no
32,blue-collar,single,primary,no,882,no,yes,cellular,29,7,80,8,-1,0,unknown,no
47,unemployed,married,primary,no,168,yes,no,telephone,30,1,66,1,241,1,other,no
35,management,single,tertiary,no,714,yes,no,cellular,26,8,135,22,-1,0,unknown,no
42,management,single,tertiary,no,0,no,no,cellular,7,9,99,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,6,761,2,-1,0,unknown,yes
59,retired,married,secondary,no,163,no,no,cellular,24,7,464,1,-1,0,unknown,no
38,admin.,married,secondary,no,3190,yes,no,unknown,20,6,20,2,-1,0,unknown,no
50,unemployed,married,secondary,no,1772,no,no,cellular,29,7,206,4,-1,0,unknown,no
27,services,single,secondary,no,-151,no,no,cellular,8,7,283,2,-1,0,unknown,no
55,housemaid,married,primary,no,16,no,no,unknown,20,6,64,1,-1,0,unknown,no
39,services,single,secondary,no,7066,yes,no,cellular,15,5,667,3,357,3,other,yes
31,technician,single,tertiary,no,454,no,no,cellular,4,2,73,3,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,4798,yes,no,unknown,20,5,156,2,-1,0,unknown,no
28,technician,single,secondary,yes,-298,yes,no,unknown,3,6,559,7,-1,0,unknown,no
42,technician,married,secondary,no,439,no,no,cellular,20,8,143,2,-1,0,unknown,no
40,services,divorced,secondary,no,1927,yes,no,unknown,15,5,62,1,-1,0,unknown,no
59,management,single,secondary,no,671,yes,yes,cellular,29,1,219,2,259,5,failure,no
40,services,single,secondary,no,65,yes,no,cellular,15,5,15,3,-1,0,unknown,no
43,technician,married,secondary,no,-932,yes,no,cellular,16,4,567,1,-1,0,unknown,no
38,technician,single,secondary,no,4366,yes,no,cellular,29,7,188,2,-1,0,unknown,no
54,retired,married,primary,no,0,yes,no,cellular,11,7,159,2,-1,0,unknown,no
41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,7,121,2,-1,0,unknown,no
55,housemaid,divorced,primary,no,976,no,no,cellular,28,6,345,1,94,3,other,yes
33,management,married,tertiary,no,148,no,no,unknown,20,5,717,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,5,no,no,cellular,18,8,71,3,-1,0,unknown,no
36,management,married,secondary,no,-148,no,no,cellular,18,11,144,2,-1,0,unknown,no
48,technician,divorced,tertiary,no,113,no,yes,cellular,22,7,38,1,-1,0,unknown,no
42,management,married,secondary,no,-105,yes,no,cellular,28,8,60,2,-1,0,unknown,no
46,management,divorced,tertiary,no,624,no,no,cellular,17,9,336,2,183,2,success,yes
49,technician,married,secondary,yes,-1680,yes,yes,unknown,27,6,92,4,-1,0,unknown,no
36,blue-collar,married,secondary,no,-461,no,no,cellular,11,5,254,2,353,1,failure,no
34,technician,single,tertiary,no,144,yes,yes,cellular,14,10,104,1,85,19,failure,no
51,entrepreneur,divorced,tertiary,no,4,yes,yes,cellular,20,4,74,5,-1,0,unknown,no
58,blue-collar,married,primary,no,309,no,no,cellular,19,8,156,2,-1,0,unknown,no
48,management,married,tertiary,no,866,no,no,cellular,29,1,146,2,-1,0,unknown,no
41,admin.,single,secondary,no,1020,yes,no,unknown,19,5,882,1,-1,0,unknown,yes
49,self-employed,married,primary,no,489,yes,no,unknown,27,5,84,4,-1,0,unknown,no
43,management,married,primary,no,8167,yes,no,unknown,19,5,114,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,7,957,3,-1,0,unknown,no
54,retired,married,secondary,no,3671,no,no,unknown,11,6,67,3,-1,0,unknown,no
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,7,211,11,-1,0,unknown,no
35,technician,married,secondary,no,141,yes,no,cellular,19,8,299,2,-1,0,unknown,no
56,technician,married,secondary,no,150,yes,yes,cellular,11,5,102,6,349,1,failure,no
57,technician,married,secondary,no,839,no,yes,unknown,5,5,225,1,-1,0,unknown,no
31,housemaid,single,primary,no,26965,no,no,cellular,21,4,654,2,-1,0,unknown,yes
33,technician,single,secondary,no,716,yes,no,cellular,14,5,234,2,-1,0,unknown,no
29,technician,single,tertiary,no,2485,no,no,telephone,24,7,48,6,-1,0,unknown,no
38,management,single,tertiary,no,15030,yes,no,cellular,13,5,167,1,174,7,other,no
37,admin.,married,secondary,no,11303,no,no,cellular,26,5,500,2,-1,0,unknown,no
33,entrepreneur,married,tertiary,no,595,no,no,cellular,7,8,22,2,-1,0,unknown,no
30,management,single,tertiary,no,19358,no,no,cellular,19,11,258,2,-1,0,unknown,no
31,self-employed,single,secondary,no,203,no,yes,cellular,19,11,177,1,-1,0,unknown,no
28,technician,single,tertiary,no,183,yes,yes,unknown,28,5,62,2,-1,0,unknown,no
26,admin.,single,secondary,no,255,no,no,cellular,30,4,457,1,80,1,success,yes
31,technician,single,secondary,no,102,yes,no,telephone,17,4,460,2,345,2,failure,no
50,housemaid,divorced,primary,no,94,yes,no,cellular,22,7,184,4,-1,0,unknown,no
45,entrepreneur,married,primary,no,58,yes,no,telephone,13,5,119,3,371,3,failure,no
48,management,married,primary,no,606,no,no,cellular,5,3,77,6,-1,0,unknown,no
41,technician,married,secondary,no,0,no,yes,cellular,23,7,107,1,-1,0,unknown,no
60,technician,married,primary,no,65,yes,no,unknown,9,5,1028,2,-1,0,unknown,yes
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,5,87,1,-1,0,unknown,no
43,blue-collar,married,primary,no,757,yes,no,unknown,9,5,315,4,-1,0,unknown,no
36,management,married,tertiary,no,9269,yes,yes,cellular,19,11,107,2,-1,0,unknown,no
40,blue-collar,married,primary,no,1206,no,yes,telephone,16,7,201,5,-1,0,unknown,no
28,management,single,tertiary,no,882,no,yes,cellular,29,1,94,1,205,2,failure,no
27,student,single,tertiary,no,5291,no,no,cellular,12,11,192,2,92,2,failure,yes
49,management,single,secondary,no,61,yes,no,cellular,29,1,185,2,246,1,failure,no
37,technician,married,tertiary,no,0,yes,no,cellular,17,11,77,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1407,yes,no,cellular,6,5,142,3,-1,0,unknown,no
31,technician,single,secondary,yes,25,no,no,cellular,2,2,381,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1354,yes,yes,cellular,17,11,222,2,-1,0,unknown,no
35,blue-collar,married,primary,no,793,yes,no,cellular,17,4,106,1,-1,0,unknown,no
51,blue-collar,divorced,unknown,no,10287,yes,no,unknown,29,5,117,1,-1,0,unknown,no
33,technician,single,secondary,no,5235,no,no,cellular,7,8,67,3,-1,0,unknown,no
30,technician,single,tertiary,no,3,yes,no,cellular,6,5,45,2,169,2,failure,no
58,technician,single,secondary,no,409,no,yes,cellular,14,7,643,2,-1,0,unknown,no
34,admin.,married,tertiary,no,35,yes,no,cellular,15,10,76,1,69,2,failure,no
45,management,married,tertiary,no,-459,no,no,cellular,21,8,508,6,-1,0,unknown,no
28,services,single,secondary,no,198,no,no,cellular,5,7,128,2,-1,0,unknown,yes
31,blue-collar,married,primary,no,99,yes,no,cellular,17,4,193,2,322,1,other,no
40,management,married,tertiary,no,60,no,no,unknown,16,6,172,6,-1,0,unknown,no
30,services,single,secondary,no,3485,no,no,cellular,2,2,142,2,-1,0,unknown,no
34,entrepreneur,married,secondary,no,-139,yes,yes,unknown,27,5,492,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,952,no,yes,unknown,12,6,140,1,-1,0,unknown,no
59,retired,married,primary,no,1427,no,no,unknown,18,6,140,2,-1,0,unknown,no
43,technician,single,tertiary,no,1017,yes,no,unknown,19,5,257,2,-1,0,unknown,no
41,management,married,tertiary,no,-29,no,no,cellular,29,1,41,2,266,2,failure,no
33,technician,divorced,secondary,no,9,no,no,cellular,21,8,91,2,-1,0,unknown,no
33,management,married,secondary,no,4040,yes,no,cellular,20,4,132,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,13,no,no,unknown,3,6,284,1,-1,0,unknown,no
32,self-employed,single,secondary,no,1259,no,no,cellular,25,7,184,2,-1,0,unknown,no
25,admin.,married,secondary,no,18,yes,no,cellular,18,7,225,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,-76,yes,no,unknown,12,5,241,3,-1,0,unknown,no
38,technician,single,tertiary,no,221,no,no,cellular,20,8,79,3,-1,0,unknown,no
34,management,married,tertiary,no,136,yes,no,cellular,22,4,156,1,-1,0,unknown,no
67,blue-collar,married,secondary,no,16353,no,no,cellular,27,10,223,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,-63,yes,no,unknown,30,5,198,1,-1,0,unknown,no
45,housemaid,married,primary,no,7353,no,no,cellular,13,8,536,2,-1,0,unknown,no
33,blue-collar,married,primary,no,511,yes,no,unknown,21,5,304,2,-1,0,unknown,no
38,admin.,married,primary,no,3913,yes,no,cellular,20,4,196,2,315,2,failure,no
32,technician,divorced,secondary,no,1097,yes,no,unknown,12,5,298,2,-1,0,unknown,no
54,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,5,86,6,-1,0,unknown,no
51,admin.,divorced,secondary,no,340,yes,no,unknown,8,5,186,1,-1,0,unknown,no
42,blue-collar,married,primary,no,-119,yes,no,cellular,22,7,167,3,-1,0,unknown,no
41,admin.,married,secondary,no,2993,yes,no,cellular,22,7,24,12,-1,0,unknown,no
39,management,divorced,tertiary,no,3575,no,yes,cellular,18,8,74,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,361,yes,no,unknown,11,6,601,1,-1,0,unknown,no
39,management,married,secondary,no,1072,yes,no,unknown,27,5,1168,2,-1,0,unknown,no
46,blue-collar,married,primary,no,2904,no,no,cellular,20,4,277,2,-1,0,unknown,no
50,entrepreneur,divorced,tertiary,no,1790,no,yes,cellular,6,2,748,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,86,yes,no,unknown,19,5,364,1,-1,0,unknown,no
37,technician,married,secondary,no,1633,yes,no,unknown,19,5,229,3,-1,0,unknown,no
31,management,married,tertiary,no,8312,no,no,cellular,29,8,43,13,-1,0,unknown,no
34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,6,177,1,-1,0,unknown,yes
34,management,married,tertiary,no,0,yes,no,cellular,7,8,262,1,99,2,success,yes
36,management,married,tertiary,no,222,yes,no,cellular,6,5,317,1,169,2,failure,no
40,technician,married,secondary,no,109,no,no,unknown,20,6,402,22,-1,0,unknown,no
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,6,314,1,-1,0,unknown,yes
41,technician,married,secondary,no,1066,no,no,cellular,11,2,109,3,-1,0,unknown,yes
52,management,married,tertiary,no,3163,no,no,cellular,25,8,56,6,-1,0,unknown,no
40,services,single,secondary,no,888,yes,no,unknown,12,5,169,2,-1,0,unknown,no
48,blue-collar,single,unknown,no,428,yes,no,cellular,18,5,127,1,-1,0,unknown,no
33,management,divorced,secondary,no,106,no,no,cellular,20,8,175,3,-1,0,unknown,no
44,technician,divorced,secondary,no,0,no,no,cellular,12,8,56,2,-1,0,unknown,no
55,management,married,tertiary,no,979,no,yes,cellular,8,7,123,1,-1,0,unknown,no
51,admin.,married,secondary,no,2662,no,no,telephone,28,1,148,2,-1,0,unknown,no
34,management,single,tertiary,no,84,no,no,cellular,5,2,231,1,-1,0,unknown,no
58,retired,divorced,unknown,no,5920,yes,no,cellular,23,7,255,1,-1,0,unknown,no
39,management,single,tertiary,no,816,yes,no,cellular,27,8,37,3,-1,0,unknown,no
27,unemployed,single,secondary,no,3276,no,no,cellular,5,8,106,1,110,2,other,no
55,management,divorced,unknown,no,2,yes,no,unknown,19,5,95,1,-1,0,unknown,no
35,technician,single,secondary,no,-51,no,no,unknown,2,7,134,2,-1,0,unknown,no
37,technician,single,tertiary,no,3315,yes,no,cellular,9,4,820,2,-1,0,unknown,no
52,technician,married,secondary,no,196,yes,yes,cellular,24,2,116,1,273,3,failure,no
41,blue-collar,married,secondary,no,552,yes,no,cellular,12,5,463,1,-1,0,unknown,no
52,admin.,married,secondary,no,2347,no,yes,cellular,12,8,603,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,3723,yes,no,unknown,27,5,47,5,-1,0,unknown,no
53,management,divorced,primary,no,255,no,no,cellular,19,11,126,1,-1,0,unknown,no
33,management,single,tertiary,no,3143,no,no,cellular,29,6,421,2,-1,0,unknown,yes
47,self-employed,married,secondary,no,0,no,no,unknown,26,6,174,8,-1,0,unknown,no
35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,1,144,1,266,2,failure,no
33,management,single,tertiary,no,1909,no,no,cellular,8,8,191,2,-1,0,unknown,no
55,blue-collar,married,primary,no,3873,no,no,telephone,21,4,222,1,-1,0,unknown,no
58,self-employed,married,primary,no,1013,yes,no,cellular,11,8,206,1,461,1,failure,yes
44,admin.,married,secondary,no,262,yes,no,cellular,9,7,74,1,-1,0,unknown,no
25,services,single,secondary,no,3217,yes,no,unknown,28,5,24,1,-1,0,unknown,no
37,technician,single,secondary,no,5436,yes,no,cellular,6,5,7,11,351,1,failure,no
41,blue-collar,married,primary,no,2067,yes,no,cellular,15,5,493,7,-1,0,unknown,no
34,blue-collar,single,secondary,no,215,no,no,cellular,3,3,350,3,-1,0,unknown,yes
36,services,divorced,secondary,no,1594,no,no,unknown,6,6,250,3,-1,0,unknown,no
44,self-employed,married,tertiary,no,134,no,no,cellular,28,8,86,4,-1,0,unknown,no
34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,11,371,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,6,419,2,-1,0,unknown,no
43,management,divorced,tertiary,no,388,yes,no,unknown,8,5,2087,2,-1,0,unknown,yes
28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,5,22,4,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,5,266,1,-1,0,unknown,no
37,technician,divorced,secondary,no,79,no,no,cellular,21,7,191,1,-1,0,unknown,no
59,self-employed,married,tertiary,no,2013,no,no,cellular,19,2,222,4,94,2,success,yes
58,blue-collar,divorced,secondary,no,543,no,yes,telephone,17,7,264,3,-1,0,unknown,no
56,management,divorced,tertiary,no,1016,yes,no,unknown,9,6,184,5,-1,0,unknown,no
32,blue-collar,single,secondary,no,604,no,yes,cellular,28,5,95,3,-1,0,unknown,no
42,management,single,tertiary,no,525,no,no,cellular,13,8,127,2,-1,0,unknown,no
52,retired,divorced,primary,no,353,no,no,cellular,31,7,395,4,-1,0,unknown,no
46,management,married,tertiary,no,964,yes,no,cellular,8,4,174,1,-1,0,unknown,no
37,admin.,married,tertiary,no,3913,yes,no,cellular,27,4,124,1,-1,0,unknown,yes
39,blue-collar,married,primary,no,879,yes,no,unknown,26,5,102,2,-1,0,unknown,no
31,admin.,married,secondary,no,314,yes,no,cellular,17,4,279,1,-1,0,unknown,no
59,housemaid,married,primary,no,0,no,no,cellular,27,8,76,11,-1,0,unknown,no
38,blue-collar,married,secondary,no,1370,yes,no,cellular,11,5,472,2,-1,0,unknown,no
58,management,married,secondary,no,37,no,no,cellular,18,8,84,11,-1,0,unknown,no
34,management,single,tertiary,no,673,yes,yes,cellular,20,11,271,1,184,1,failure,no
40,services,married,secondary,no,-342,yes,no,unknown,26,5,754,1,-1,0,unknown,no
20,student,single,secondary,no,291,no,no,telephone,11,5,172,5,371,5,failure,no
34,technician,married,secondary,no,209,yes,yes,cellular,8,4,375,2,-1,0,unknown,no
31,technician,single,tertiary,no,438,yes,no,cellular,12,8,130,2,-1,0,unknown,no
39,admin.,single,secondary,no,1242,yes,no,unknown,12,5,303,3,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,5,261,1,-1,0,unknown,no
24,blue-collar,married,secondary,no,204,yes,yes,cellular,17,4,229,3,-1,0,unknown,no
41,management,married,tertiary,no,10758,yes,no,cellular,1,6,288,1,-1,0,unknown,no
40,management,married,tertiary,no,5,yes,no,cellular,18,11,219,3,-1,0,unknown,no
45,technician,single,secondary,no,410,yes,no,unknown,30,5,891,4,-1,0,unknown,yes
36,management,married,tertiary,no,605,yes,no,unknown,26,5,204,1,-1,0,unknown,no
53,management,married,tertiary,no,4,no,no,unknown,20,6,19,6,-1,0,unknown,no
23,student,single,secondary,no,8494,no,no,cellular,25,8,158,2,-1,0,unknown,no
42,entrepreneur,married,primary,no,198,yes,no,unknown,8,5,314,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,841,yes,no,unknown,19,5,215,1,-1,0,unknown,no
34,management,married,tertiary,no,8,no,no,cellular,25,8,169,4,-1,0,unknown,no
36,admin.,married,secondary,no,470,yes,no,cellular,31,7,101,4,-1,0,unknown,no
43,retired,married,secondary,no,520,yes,no,unknown,20,5,15,13,-1,0,unknown,no
36,blue-collar,married,secondary,no,439,yes,no,unknown,21,5,260,5,-1,0,unknown,no
